date,P1,P2,P3,P4,P5,P5_P1
2014-07-01,-0.04305007119511228,-0.019301341803679734,-0.03512336893077547,-0.023710102696951698,-0.03915483247595078,0.0038952387191615034
2014-08-01,0.0438674040480263,0.037336482678449405,0.05703040446852792,0.05218848724372582,-0.011457321973886533,-0.05532472602191283
2014-09-01,-0.07396830352612026,-0.033330970391560945,-0.013046150684023497,0.02216372362832244,-0.039971856389357664,0.03399644713676259
2014-10-01,-0.0014818315267609245,0.0527815511859878,0.03694149990776259,0.029796777857853538,-0.046989833336306526,-0.045508001809545603
2014-11-01,0.06450534012262796,0.002976024169511387,0.014488424618095247,0.027445935604810904,0.019827396110986557,-0.0446779440116414
2014-12-01,-0.017294829771231427,0.0030036192466545634,0.016395668746595513,0.02670033252780089,-0.02696097314806783,-0.009666143376836404
2015-01-01,0.037949133505017406,-0.009151023889080127,-0.01836038231679385,-0.028061977559161042,0.03897893425350138,0.0010298007484839736
2015-02-01,0.04613118721258698,0.07282227037079413,0.060242611074041816,0.07346253059694237,0.10328075217692827,0.05714956496434129
2015-03-01,0.009663311257030398,0.008470034818362311,0.007878960600254855,-0.005908996224985658,0.03148509203875073,0.021821780781720333
2015-04-01,-0.0018112074249784416,-0.00970638153950828,0.0028109220711404143,-0.006810393813169806,0.06818288109419494,0.06999408851917338
2015-05-01,0.01110272819468338,-0.008111467272874755,0.012991803843975606,0.01800026654359891,0.042495803546267766,0.031393075351584386
2015-06-01,-0.005345334180687497,0.00441096137040561,-0.01213741148244081,0.003861362011801988,-0.07531505389168082,-0.06996971971099332
2015-07-01,0.01009462261849236,-0.012427011222330496,-0.004860155003778671,-0.03442449791190559,-0.05506695241268173,-0.06516157503117409
2015-08-01,-0.07329130794850937,-0.04922696474628374,-0.0070220951578396215,-0.04114837099619677,0.04112097110652914,0.11441227905503851
2015-09-01,-0.02131624595912556,-0.044847838582914294,-0.027355055144124174,-0.05711152478557889,-0.02081347084921389,0.0005027751099116705
2015-10-01,0.022885934884368374,0.05075485609578138,0.07726138291128733,0.036318440196304876,0.08523525457943322,0.062349319695064846
2015-11-01,0.06190992134618882,0.0038246111403701477,-0.005935347053776158,0.001892613179050535,0.09267545236604748,0.030765531019858655
2015-12-01,-0.014063491679853844,-0.04075901398586792,-0.027817498417333643,-0.022403847641447917,-0.07430118033459232,-0.060237688654738476
2016-01-01,-0.0613855551185925,-0.02820044460118743,-0.037302803618188045,-0.07897692570921751,-0.01317963227070628,0.04820592284788622
2016-02-01,-0.015093789628475053,0.0193125415819119,0.024918881156690807,-0.008560966127619345,0.12736397815570533,0.14245776778418037
2016-03-01,0.06461331864824445,0.13839541704199768,0.07960322094910306,0.1313566789727608,0.14797991765647314,0.0833665990082287
2016-04-01,0.0381749188997795,0.010998244686027553,0.0034745556565738585,0.03986178773762305,0.1548285447500175,0.116653625850238
2016-05-01,0.027580999789545816,0.010043110424424555,0.020882538070199328,0.01905616773703825,-0.043065854933462884,-0.0706468547230087
2016-06-01,0.03299738764497066,0.005598946068303609,0.009003452668923504,0.018600504182055545,-0.00705707183800888,-0.040054459482979546
2016-07-01,0.05132277049696136,0.0618149250059276,0.05513703427893003,0.07182287035337351,0.04540126538232488,-0.0059215051146364744
2016-08-01,0.027784557624141983,0.024186681773839452,-0.0004273963603964532,0.012558209543638713,0.057511841311909694,0.02972728368776771
2016-09-01,0.031116753781144212,0.011067874195114624,0.00696013094235374,0.03259758921816366,0.05332575519073077,0.022209001409586555
2016-10-01,-0.001386167010526394,-0.0398301125101683,-0.031035964628032212,-0.014537684864585539,0.07735300527883833,0.07873917228936472
2016-11-01,0.1421951412308692,0.08798835806945694,0.0746047731722616,0.07024814090313246,0.05453675714494714,-0.08765838408592207
2016-12-01,0.04266411854801454,0.018529341314667172,0.024166593806028452,-0.002045337743412722,-0.012862870042432938,-0.055526988590447475
2017-01-01,0.058376426206366246,0.008712467215511619,0.02366409854380274,0.02076823007882162,0.16489918346294877,0.10652275725658253
