cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
10254,-19875000.0,6441000.0,29943000.0,,189858000.0,30666000.0,148922000.0,2013
10329,5096000.0,10640000.0,,,225849000.0,227180000.0,157409000.0,2013
10456,2012000000.0,3198000000.0,,,25224000000.0,20390000000.0,8463000000.0,2013
10795,1293000000.0,,,,12035000000.0,11629437000.0,5078000000.0,2013
11199,212600000.0,,4476600000.0,,4105600000.0,4185700000.0,,2013
11544,499925000.0,819798000.0,6408534000.0,,20551796000.0,20155896000.0,4336035000.0,2013
12040,1977000.0,6744000.0,,,51732000.0,49749000.0,21228000.0,2013
12208,77790000.0,169136000.0,,,3388790000.0,3443503000.0,2186722000.0,2013
12239,-17965000.0,,27000.0,3000.0,69853000.0,4756000.0,48302000.0,2013
12400,,,,,901173000.0,872923000.0,341854000.0,2013
12659,475157000.0,809581000.0,3024295000.0,1572377000.0,3515287000.0,3932496000.0,686759000.0,2013
12779,-619466.0,5633707.0,11300347.0,,,49083228.0,,2013
12927,4585000000.0,8179000000.0,86623000000.0,73268000000.0,92663000000.0,88896000000.0,14875000000.0,2013
12978,,,,,,3784315000.0,,2013
13033,-2149820.0,,568534.0,1198852.0,2676435.0,54.0,-6555829.0,2013
13156,563317.0,2375798.0,,,21227355.0,22404946.0,1279243.0,2013
13239,-571000000.0,80000000.0,4890000000.0,,2871000000.0,3337000000.0,-2072000000.0,2013
13573,1370394.0,2053510.0,22780017.0,,35535503.0,35159574.0,29307559.0,2013
14177,2916000.0,3760000.0,129003000.0,,63390000.0,61942000.0,33643000.0,2013
14195,28347000.0,127079000.0,528366000.0,,1413584000.0,1611448000.0,627888000.0,2013
14272,2563000000.0,3545000000.0,,,38592000000.0,35897000000.0,15154000000.0,2013
14693,659000000.0,,,,3993000000.0,3832300000.0,1889000000.0,2013
14707,38073000.0,104032000.0,132596000.0,,1146340000.0,1173973000.0,476699000.0,2013
14846,,766000.0,32003000.0,,546893000.0,432343000.0,136265000.0,2013
14930,769200000.0,174300000.0,,,2915800000.0,2424200000.0,1038400000.0,2013
15357,76017.0,,,,1295036.0,1291404.0,924386.0,2013
15511,4271000000.0,6205000000.0,,,73461000000.0,70624000000.0,48414000000.0,2013
15615,140950000.0,200402000.0,4324787000.0,,2923200000.0,2416300000.0,1016089000.0,2013
15847,514000.0,5001000.0,,,41115000.0,44321000.0,20088000.0,2013
16040,153000000.0,419000000.0,3456000000.0,,4455000000.0,4376000000.0,2005000000.0,2013
16058,151689000.0,249331000.0,3681990000.0,3411149000.0,3519359000.0,2499566000.0,1284138000.0,2013
16099,3161000.0,29442000.0,,,256367000.0,230256000.0,176377000.0,2013
16160,109207000.0,,,,752885000.0,743989000.0,542929000.0,2013
16614,,,,,,764259000.0,,2013
16732,712000000.0,1019000000.0,,,8119000000.0,8593000000.0,1410000000.0,2013
16918,1943100000.0,826200000.0,,,14336300000.0,8322700000.0,4789800000.0,2013
17313,,,,,,635212000.0,,2013
17485,7078.0,13633.0,,,51817.0,43466000.0,30483.0,2013
17843,146100000.0,,,,2895400000.0,2582200000.0,1376700000.0,2013
18169,,,,,,4229771000.0,,2013
18172,-39533000.0,74385000.0,,,806485000.0,788806000.0,388461000.0,2013
18230,,,55656000000.0,,84755000000.0,88970000000.0,,2013
18255,54322000.0,92959000.0,920033000.0,,596918000.0,532646000.0,391109000.0,2013
18349,159383000.0,605101000.0,,,26201604000.0,26760012000.0,2948985000.0,2013
18396,12884000.0,16100000.0,1087859000.0,,405807000.0,400705000.0,284308000.0,2013
18498,92653000.0,139999000.0,,,1439284000.0,1326072000.0,916190000.0,2013
18926,-239000000.0,,18095000000.0,,51787000000.0,53940000000.0,17191000000.0,2013
19002,-548366.0,-1136646.0,574261.0,390410.0,10352742.0,10551508.0,2953721.0,2013
19149,5714394.0,6366321.0,72323175.0,,24971668.0,43815842.0,3706837.0,2013
19411,125261000.0,,3546317000.0,,1759218000.0,1512133000.0,1156485000.0,2013
19446,39239000.0,,,,493185000.0,471858000.0,342018000.0,2013
19584,77227000.0,,,1008808000.0,893701000.0,859626000.0,448890000.0,2013
19612,56808000.0,89679000.0,,,6184708000.0,5917252000.0,696500000.0,2013
19617,17886000000.0,107953000000.0,97367000000.0,,2414879000000.0,2359141000000.0,211178000000.0,2013
19745,32787000.0,72931000.0,444306000.0,,837522000.0,733746000.0,278773000.0,2013
19871,2479029.0,3058485.0,,,28157346.0,25911503.0,24871102.0,2013
20171,2345000000.0,1731000000.0,13947000000.0,,50433000000.0,52184000000.0,16097000000.0,2013
20212,54900000.0,144915000.0,0.0,,1352261000.0,1114337000.0,704800000.0,2013
20232,-7839000.0,5484000.0,47407000.0,,50652000.0,15115000.0,15286000.0,2013
20286,517000000.0,796000000.0,4531000000.0,,17662000000.0,16548000000.0,6070000000.0,2013
20520,112835000.0,,4762000000.0,,16635484000.0,17733631000.0,4055481000.0,2013
20629,18769000.0,27830000.0,,,315232000.0,310790000.0,259553000.0,2013
20639,-6018000.0,-2267000.0,,,98363000.0,104870000.0,59773000.0,2013
20740,118076000.0,135241000.0,,,1448843000.0,1205502000.0,1031848000.0,2013
21076,572000000.0,775000000.0,5623000000.0,,4388000000.0,4502000000.0,156000000.0,2013
21175,937000000.0,1204000000.0,9932000000.0,,57194000000.0,58522000000.0,12651000000.0,2013
21239,-52985.0,,145.0,,97852.0,88062.0,-1357129.0,2013
21344,8584000000.0,10542000000.0,,,90055000000.0,86174000000.0,33173000000.0,2013
21510,66355000.0,,,487855000.0,972020000.0,897104000.0,775508000.0,2013
21535,-33418000.0,3417000.0,,,345423000.0,334873000.0,253160000.0,2013
