cik,ni,ocf,rev,cogs,at,at_prev,se,fyear,ticker,tacc,gpoa
14272,2563000000.0,3545000000.0,,,38592000000.0,35897000000.0,15154000000.0,2013,CELG-RI,-0.027356046466278518,
14693,659000000.0,,,,3993000000.0,3832300000.0,1889000000.0,2013,BF-A,,
14707,38073000.0,104032000.0,132596000.0,,1146340000.0,1173973000.0,476699000.0,2013,CAL,-0.056184426728723744,
14846,,766000.0,32003000.0,,546893000.0,432343000.0,136265000.0,2013,BRT,,
14930,769200000.0,174300000.0,,,2915800000.0,2424200000.0,1038400000.0,2013,BC-PC,0.24540054450952892,
15615,140950000.0,200402000.0,4324787000.0,,2923200000.0,2416300000.0,1016089000.0,2013,MTZ,-0.024604560691967058,
15847,514000.0,5001000.0,,,41115000.0,44321000.0,20088000.0,2013,BUKS,-0.10123869046276032,
16040,153000000.0,419000000.0,3456000000.0,,4455000000.0,4376000000.0,2005000000.0,2013,CBT,-0.06078610603290677,
16058,151689000.0,249331000.0,3681990000.0,3411149000.0,3519359000.0,2499566000.0,1284138000.0,2013,CACI,-0.03906358143773759,0.10835521046453664
16160,109207000.0,,,,752885000.0,743989000.0,542929000.0,2013,CALM,,
16732,712000000.0,1019000000.0,,,8119000000.0,8593000000.0,1410000000.0,2013,CPB,-0.035726754334923776,
16918,1943100000.0,826200000.0,,,14336300000.0,8322700000.0,4789800000.0,2013,STZ,0.1341992382279789,
17313,,,,,,635212000.0,,2013,CSWC,,
17843,146100000.0,,,,2895400000.0,2582200000.0,1376700000.0,2013,CRS,,
18230,,,55656000000.0,,84755000000.0,88970000000.0,,2013,CAT,,
18255,54322000.0,92959000.0,920033000.0,,596918000.0,532646000.0,391109000.0,2013,CATO,-0.07253785816470977,
18498,92653000.0,139999000.0,,,1439284000.0,1326072000.0,916190000.0,2013,GCO,-0.03570394367726639,
18926,-239000000.0,,18095000000.0,,51787000000.0,53940000000.0,17191000000.0,2013,LUMN,,
19584,77227000.0,,,1008808000.0,893701000.0,859626000.0,448890000.0,2013,CHE,,
19617,17886000000.0,107953000000.0,97367000000.0,,2414879000000.0,2359141000000.0,211178000000.0,2013,JPM-PM,-0.038177879151776006,
19745,32787000.0,72931000.0,444306000.0,,837522000.0,733746000.0,278773000.0,2013,CPK,-0.05471103079267212,
19871,2479029.0,3058485.0,,,28157346.0,25911503.0,24871102.0,2013,CVR,-0.022362886475554893,
20212,54900000.0,144915000.0,0.0,,1352261000.0,1114337000.0,704800000.0,2013,CHDN,-0.08077897440361399,
20286,517000000.0,796000000.0,4531000000.0,,17662000000.0,16548000000.0,6070000000.0,2013,CINF,-0.0168600435097897,
20639,-6018000.0,-2267000.0,,,98363000.0,104870000.0,59773000.0,2013,ABCP,-0.03576809383045675,
21076,572000000.0,775000000.0,5623000000.0,,4388000000.0,4502000000.0,156000000.0,2013,CLX,-0.04509107063527321,
21175,937000000.0,1204000000.0,9932000000.0,,57194000000.0,58522000000.0,12651000000.0,2013,CNA,-0.004562386794709682,
21344,8584000000.0,10542000000.0,,,90055000000.0,86174000000.0,33173000000.0,2013,KO,-0.022721470513147816,
21535,-33418000.0,3417000.0,,,345423000.0,334873000.0,253160000.0,2013,COHU,-0.10999692420708747,
21665,2241000000.0,3204000000.0,17420000000.0,7219000000.0,13985000000.0,13394000000.0,2305000000.0,2013,CL,-0.07189786471554427,0.7616096759743168
22356,260961000.0,361749000.0,,,23072036000.0,22159589000.0,2210642000.0,2013,CBSH,-0.004548279302472622,
22444,77315000.0,147732000.0,,,3537709000.0,3497569000.0,1323072000.0,2013,CMC,-0.020133126751752432,
22701,-957888.0,,,86420982.0,103533000.0,112534645.0,88622043.0,2013,SUNE,,
23194,41029000.0,261279000.0,420290000.0,,2139398000.0,2569897000.0,952005000.0,2013,CRK,-0.08570382392757375,
23197,17808000.0,37695000.0,,178967000.0,655214000.0,684747000.0,379945000.0,2013,CMTL,-0.029042843561198517,
23217,303100000.0,1568600000.0,1700000000.0,,20786400000.0,12524500000.0,5472200000.0,2013,CAG,-0.10104195776278495,
23795,3683247.0,10887804.0,26069830.0,,226183680.0,184696900.0,120169357.0,2013,CTO-PA,-0.03900746033095304,
24090,4793000.0,81414000.0,213636000.0,,1216280000.0,1174948000.0,249247000.0,2013,CIA,-0.06521224769096164,
24545,567300000.0,1168200000.0,,,15580100000.0,16212200000.0,8605200000.0,2013,TAP-A,-0.03706467968566882,
24741,1961000000.0,,,4495000000.0,28478000000.0,29375000000.0,21162000000.0,2013,GLW,,
25232,121761000.0,137340000.0,210741000.0,,2273206000.0,1124242000.0,1457401000.0,2013,CUZ,-0.013857336765571826,
25445,192700000.0,264000000.0,,,3559600000.0,2889878000.0,1204319000.0,2013,CXT,-0.024672321807356574,
25475,50978000.0,77844000.0,1253430000.0,936427000.0,790058000.0,847415000.0,199805000.0,2013,CRD-B,-0.03170347468477665,0.374082356342524
25743,-28419313.0,-20768069.0,,,62016393.0,5925879.0,54698407.0,2013,TXMD,-1.2911576493546357,
25895,5771000.0,3639000.0,,,49400000.0,43577000.0,34585000.0,2013,CRWS,0.04892489157124171,
26058,-3929000.0,37571000.0,,,480265000.0,561190000.0,296729000.0,2013,CTS,-0.07394999910903616,
26172,,,,13021000000.0,14728000000.0,12548000000.0,7510000000.0,2013,CMI,,
26324,137981000.0,237827000.0,,1382242000.0,3458274000.0,3114588000.0,1552705000.0,2013,CW,-0.03205753056262979,
26780,244000000.0,577000000.0,,,5129000000.0,5144000000.0,1309000000.0,2013,DAN,-0.06473561430793157,
27093,,-1554000.0,30399000.0,32717000.0,6382331.0,9096431.0,1662554.0,2013,USAU,,-0.25482521661517576
27419,,6520000000.0,71279000000.0,,44553000000.0,48163000000.0,16231000000.0,2013,TGT,,
27904,10540000000.0,4504000000.0,37773000000.0,,52104000000.0,44550000000.0,11643000000.0,2013,DAL,0.1354882154882155,
27996,186652000.0,,1584824000.0,561116000.0,1569529000.0,1412440000.0,550457000.0,2013,DLX,,0.7247798136558014
28823,-181600000.0,124200000.0,,,2183491000.0,2592987000.0,596764000.0,2013,DBD,-0.1179334875184488,
28917,323671000.0,,6691777000.0,4223715000.0,4050739000.0,4048744000.0,1992197000.0,2013,DDT,,0.609587071941323
29002,26532000.0,109891000.0,,,1162258000.0,920063000.0,702742000.0,2013,DIOD,-0.09060140446904179,
29332,5290000.0,-5921000.0,,,248866000.0,201770000.0,70771000.0,2013,DXYN,0.0555632651038311,
29534,,,,,10867524000.0,10367682000.0,5402193000.0,2013,DG,,
29644,247377000.0,315923000.0,,,1773543000.0,1718668000.0,1122170000.0,2013,DCI,-0.03988321188269055,
29905,1003129000.0,,,,10855181000.0,10443943000.0,,2013,DOV,,
29989,991100000.0,1809000000.0,14584500000.0,,22098700000.0,22151900000.0,3582400000.0,2013,OMC,-0.036922340747294814,
30305,11378000.0,45962000.0,,,762645000.0,780089000.0,234271000.0,2013,DCO,-0.04433340298350573,
30554,4848000000.0,3179000000.0,,,52142000000.0,49859000000.0,16229000000.0,2013,CTA-PA,0.03347439780180108,
30625,485530000.0,487759000.0,0.0,,5036733000.0,4810958000.0,1870379000.0,2013,FLS,-0.0004633172852475536,
30697,45487000.0,329847000.0,2423669000.0,,4363040000.0,4303199000.0,1929486000.0,2013,WEN,-0.06608107131461965,
31107,6901921.0,11317036.0,142458279.0,,113858409.0,115854150.0,81504851.0,2013,EML,-0.03810925202075195,
31235,,,,,3200000000.0,4286000000.0,628000000.0,2013,KODK,,
31462,,,,,19636500000.0,17572300000.0,7344300000.0,2013,ECL,,
31667,357600.0,2765100.0,,,18337300.0,18910900.0,13170700.0,2013,EDUC,-0.1273075316351945,
31791,167212000.0,158591000.0,2157586000.0,,3946712000.0,3901762000.0,1994487000.0,2013,RVTY,0.002209514573159511,
32604,2004000000.0,3649000000.0,,,24124000000.0,23771000000.0,10741000000.0,2013,EMR,-0.06920196878549494,
32621,1317000.0,-8094000.0,77829000.0,,80598000.0,88880000.0,74357000.0,2013,MSN,0.10588433843384339,
33002,13189000.0,,27100000.0,,557597000.0,497507000.0,380258000.0,2013,EBF,,
33185,351800000.0,569000000.0,,,4539900000.0,4520100000.0,2300700000.0,2013,EFX,-0.04805203424702993,
33213,390572000.0,1162861000.0,,,9765907000.0,8849862000.0,4034788000.0,2013,EQT,-0.08726565453788997,
33488,9805000.0,9007000.0,163677000.0,,141974000.0,125740000.0,87955000.0,2013,ESCA,0.006346429139494195,
33533,5562425.0,3285630.0,,,32381763.0,31914046.0,29938513.0,2013,ESP,0.07134147140102512,
33992,2012318.0,7383537.0,36566185.0,,116783822.0,93498398.0,35709411.0,2013,KINS,-0.05744717679547836,
34067,6459000.0,32016000.0,,,240545000.0,235431000.0,173029000.0,2013,BOOM,-0.10855409865310855,
34285,-21244.0,-7036.0,,,450.0,486.0,-34130.0,2013,RLBY,-29.234567901234566,
34782,54958000.0,,,,4722826000.0,4550693000.0,585378000.0,2013,SRCE,,
34903,162681000.0,314498000.0,637413000.0,,4219294000.0,3898565000.0,1448160000.0,2013,FRT-PC,-0.0389417644697472,
34956,-19541839.0,-9261571.0,158926.0,,33936209.0,3042837.0,30300767.0,2013,TENX,-3.3785141957981977,
35527,1836000000.0,,,,130443000000.0,121894000000.0,14589000000.0,2013,FITB-PK,,
36029,78868000.0,109858000.0,,,5222208000.0,4502012000.0,587647000.0,2013,FFIN,-0.006883588937568358,
36104,5836000000.0,,19602000000.0,,364021000000.0,353855000000.0,41113000000.0,2013,USB-PS,,
36146,117060000.0,155417000.0,,,11790383000.0,9828667000.0,1354953000.0,2013,TRMK,-0.0039025637962909923,
36270,1138480000.0,932324000.0,4538434000.0,,85162391000.0,83008803000.0,11305532000.0,2013,MTB-PJ,0.002483543823659281,
36377,,,,,,,2651111000.0,2013,FHB,,
36840,7449000.0,10475000.0,,,275031000.0,260507000.0,22109000.0,2013,FREVS,-0.011615810707581754,
36966,26904000.0,431373000.0,1166951000.0,,23784493000.0,25334019000.0,2192946000.0,2013,FHN-PF,-0.015965449461453392,
37472,13151000.0,5905000.0,,,206552000.0,185777000.0,,2013,FLXS,0.03900375180996571,
37785,293900000.0,,3130700000.0,1929800000.0,5235200000.0,4373900000.0,1519800000.0,2013,FMC,,0.2745604609158874
37808,117804000.0,386084000.0,,,13563405000.0,12023976000.0,1774383000.0,2013,FNB,-0.022312087116607683,
37996,11953000000.0,,146917000000.0,,202204000000.0,189571000000.0,26140000000.0,2013,F-PD,,
38264,-206886.0,2250412.0,,,15566261.0,14080643.0,9724111.0,2013,FWDI,-0.17451603595091503,
38725,81958000.0,,,,1051873000.0,976379000.0,595707000.0,2013,FELE,,
38777,2150200000.0,2035700000.0,7985000000.0,,15909300000.0,14354200000.0,10507100000.0,2013,BEN,0.007976759415362751,
39020,4040000.0,3642000.0,71550000.0,46800000.0,116375000.0,108280000.0,87422000.0,2013,FEIM,0.003675655707425194,0.22857406723309937
39092,1712926.0,,,,71632791.0,69725192.0,63057204.0,2013,FRD,,
39263,237866000.0,,923373000.0,,24312939000.0,23124069000.0,2514161000.0,2013,CFR-PB,,
39311,77509000.0,52070000.0,,,2209943000.0,2023867000.0,231581000.0,2013,IBCP,0.012569501849676881,
39368,96761000.0,,,,1873028000.0,1786320000.0,930065000.0,2013,FUL,,
39911,1280000000.0,1705000000.0,,,7849000000.0,7470000000.0,3062000000.0,2013,GAP,-0.05689424364123159,
40211,169300000.0,400700000.0,1321000000.0,,6535500000.0,6055400000.0,1397000000.0,2013,GATX,-0.038213825676255905,
40533,2357000000.0,3111000000.0,30930000000.0,25454000000.0,35473000000.0,34309000000.0,14501000000.0,2013,GD,-0.021976740796875456,0.15960826605263925
40545,13057000000.0,28510000000.0,113245000000.0,,663247000000.0,684999000000.0,130566000000.0,2013,GE,-0.022559157020667183,
40570,-1890000.0,-1071000.0,,,10218000.0,11868000.0,2388000.0,2013,JOB,-0.06900910010111223,
40704,1824400000.0,2541000000.0,,,23152100000.0,22952900000.0,6633400000.0,2013,GIS,-0.03122045580297043,
40729,361000000.0,2501000000.0,4263000000.0,,150908000000.0,182347000000.0,14208000000.0,2013,ALLY,-0.011735866233061141,
40987,684959000.0,1056731000.0,,,7680297000.0,6807061000.0,3349074000.0,2013,GPC,-0.05461564102334326,
41719,67158000.0,173635000.0,,,1678410000.0,1242985000.0,684476000.0,2013,MAGN,-0.0856623370354429,
42582,629000000.0,938000000.0,,,17437000000.0,16973000000.0,1606000000.0,2013,GT,-0.018205385023272257,
42682,30104000.0,50386000.0,,,355638000.0,335183000.0,264140000.0,2013,GRC,-0.06051022874071776,
42888,,243055000.0,,,1327228000.0,1321734000.0,,2013,GGG,,
